,u,w,lap,m,k,fsq,t,vol
0,-10975.963,1842.4894,1828728.5,2048.0,2439.3455,1477673.0,5.0,2239.39
1,-11288.145,1374.8135,1816671.2,2048.0,2476.5242,1394673.9,10.0,2207.595
2,-11348.492,2021.9282,1889955.8,2048.0,2278.781,1504319.8,15.0,2187.1404
3,-11471.265,1919.8816,1893291.6,2048.0,2295.6028,1495019.5,20.0,2172.4219
4,-11507.537,1195.4943,1820218.5,2048.0,2192.156,1320355.2,25.0,2184.6553
5,-11539.712,989.4329,1802490.9,2048.0,2217.1096,1299944.2,30.0,2185.34
6,-11576.216,1399.6543,1847575.4,2048.0,2212.4263,1312473.8,35.0,2172.9421
7,-11595.774,1319.2574,1841863.9,2048.0,2210.5376,1270694.2,40.0,2171.0156
8,-11623.074,1430.8749,1855919.6,2048.0,2128.2488,1321447.8,45.0,2166.137
9,-11663.566,1071.0436,1825017.1,2048.0,2184.4006,1301183.1,50.0,2167.224
10,-11659.186,1546.6555,1872457.2,2048.0,2207.6404,1289438.5,55.0,2159.241
11,-11596.109,839.0466,1793308.4,2048.0,2132.196,1265763.6,60.0,2181.8328
12,-11666.75,1367.7876,1855057.0,2048.0,2176.608,1323848.6,65.0,2161.8716
13,-11598.717,1460.7465,1857635.8,2048.0,2156.1455,1358376.1,70.0,2168.3904
14,-11646.921,1471.5968,1865033.9,2048.0,2220.8208,1419693.9,75.0,2161.6929
15,-11647.223,1260.4119,1842224.2,2048.0,2128.6145,1356406.5,80.0,2166.9504
16,-11623.811,1522.0582,1865112.6,2048.0,2187.8352,1282792.6,85.0,2163.7444
17,-11750.265,993.0511,1825825.5,2048.0,2250.2122,1307215.0,90.0,2160.1204
18,-11629.117,1343.4067,1847946.6,2048.0,2197.007,1310737.8,95.0,2167.2644
19,-11652.48,1038.5469,1820163.5,2048.0,2197.0686,1287660.5,100.0,2170.487
20,-11662.81,1075.1732,1825697.8,2048.0,2163.0786,1320228.4,105.0,2167.6155
21,-11678.854,1382.965,1857567.9,2048.0,2115.4878,1313725.4,110.0,2159.6406
22,-11678.348,1194.1638,1837282.5,2048.0,2110.9026,1225809.4,115.0,2164.3838
23,-11724.552,1023.9081,1825766.0,2048.0,2094.7917,1277152.6,120.0,2162.0195
24,-11823.125,630.3502,1795393.8,2048.0,2155.271,1153512.5,125.0,2158.3247
25,-11817.278,1677.9489,1901882.6,2048.0,2114.6914,1322398.9,130.0,2137.4907
26,-11694.949,1132.3541,1834377.8,2048.0,2129.933,1285157.4,135.0,2163.4028
27,-11658.968,1204.1624,1837726.6,2048.0,2097.7483,1339605.5,140.0,2166.0996
28,-11669.242,1146.7148,1832982.5,2048.0,2194.7776,1266739.9,145.0,2166.3928
29,-11687.053,1247.4274,1845036.5,2048.0,2131.0479,1365161.0,150.0,2162.5437
30,-11722.872,1550.9458,1880210.0,2048.0,2155.1875,1324351.5,155.0,2149.6482
31,-11757.496,1181.2537,1845181.1,2048.0,2179.5972,1253315.5,160.0,2154.5007
32,-11678.914,1749.0627,1895542.1,2048.0,2166.7834,1380761.0,165.0,2152.4314
33,-11657.365,709.908,1784334.6,2048.0,2125.0232,1181289.1,170.0,2177.5454
34,-11700.938,1062.7423,1827198.6,2048.0,2196.0994,1267710.1,175.0,2164.3188
35,-11615.791,1461.8044,1860458.4,2048.0,2195.337,1380373.4,180.0,2165.8774
36,-11716.533,1026.2269,1824831.5,2048.0,2194.0493,1243580.2,185.0,2163.7295
37,-11711.96,1099.4034,1832042.1,2048.0,2131.359,1272253.5,190.0,2162.551
38,-11737.344,1005.6068,1823959.2,2048.0,2114.734,1209922.5,195.0,2160.239
39,-11674.012,1007.9962,1816756.9,2048.0,2127.7524,1196792.6,200.0,2170.4219
40,-11626.053,1734.6343,1888025.2,2048.0,2133.5522,1383894.9,205.0,2160.2012
41,-11615.689,1520.0819,1864129.9,2048.0,2200.8442,1333504.8,210.0,2165.7017
42,-11689.748,724.54144,1791530.6,2048.0,2173.8672,1259166.8,215.0,2172.8406
43,-11657.635,717.65765,1788433.4,2048.0,2133.6487,1286209.6,220.0,2176.1155
44,-11643.1455,1835.0894,1899586.1,2048.0,2180.3496,1327167.4,225.0,2155.2217
45,-11668.21,917.149,1809330.2,2048.0,2126.4373,1285092.8,230.0,2170.855
46,-11639.657,1197.0223,1834555.6,2048.0,2154.352,1296774.4,235.0,2168.7576
47,-11671.688,1054.9065,1822360.5,2048.0,2233.7903,1242348.6,240.0,2168.1829
48,-11617.474,1288.5527,1842448.8,2048.0,2099.3206,1371014.5,245.0,2168.7944
49,-11682.357,848.52655,1801961.2,2048.0,2101.2341,1213157.1,250.0,2170.5898
50,-11744.851,999.55615,1825763.9,2048.0,2166.637,1254976.4,255.0,2159.9348
51,-11743.072,1316.6688,1857848.8,2048.0,2132.9504,1329580.6,260.0,2153.8413
52,-11671.4375,1287.3258,1847658.9,2048.0,2104.8071,1310506.1,265.0,2162.2866
53,-11764.096,1261.9956,1852995.0,2048.0,2179.752,1230399.4,270.0,2153.0264
54,-11594.933,1171.9343,1827503.1,2048.0,2122.7,1306069.2,275.0,2172.9246
55,-11716.742,1386.9595,1861807.5,2048.0,2146.9329,1300321.5,280.0,2156.1401
56,-11684.132,1027.5906,1820963.8,2048.0,2085.4353,1237340.8,285.0,2167.3384
57,-11702.692,979.6542,1818408.8,2048.0,2172.1326,1239594.0,290.0,2165.508
58,-11711.847,1183.2971,1840134.5,2048.0,2152.5386,1298321.6,295.0,2160.9814
59,-11591.651,1670.5057,1878950.9,2048.0,2137.8027,1356144.9,300.0,2164.3008
60,-11656.029,1113.0471,1827399.2,2048.0,2157.055,1239000.4,305.0,2168.3738
61,-11611.94,1240.839,1837291.4,2048.0,2193.5417,1358433.1,310.0,2170.71
62,-11636.777,1264.2625,1842032.1,2048.0,2099.1042,1341768.4,315.0,2167.3562
63,-11775.383,1241.8762,1852539.9,2048.0,2169.6985,1264897.0,320.0,2151.8845
64,-11753.406,1538.3718,1880899.1,2048.0,2225.4426,1309380.8,325.0,2149.886
65,-11700.128,1448.5134,1866826.5,2048.0,2173.9568,1312788.2,330.0,2156.1497
66,-11684.848,1492.1504,1870204.6,2048.0,2117.068,1333167.0,335.0,2156.2761
67,-11672.636,1842.5918,1904689.5,2048.0,2129.2832,1388357.1,340.0,2151.5515
68,-11724.825,1729.381,1899768.1,2048.0,2181.726,1414602.9,345.0,2146.897
69,-11643.845,851.9363,1799903.9,2048.0,2060.083,1308885.6,350.0,2176.0188
70,-11737.021,817.10297,1804611.2,2048.0,2091.8025,1202161.6,355.0,2164.8474
