# Cu Ag Au Ni Pd Pt Al Pb Fe Mo Ta W Mg Co Ti Zr
2.556162 2.891814 2.885034 2.488746 2.750897 2.771916 2.863924 3.499723 2.481987 2.728100 2.860082 2.740840 3.196291 2.505979 2.933872 3.199978 
1.554485 1.106232 1.529021 2.007018 1.595417 2.336509 1.403115 0.647872 1.885957 2.723710 3.086341 3.487340 0.544323 1.975299 1.863200 2.230909 
21.175871 14.604100 19.991632 27.562015 21.335246 33.367564 20.418205 8.450154 20.041463 29.354065 33.787168 37.234847 7.132600 27.206789 25.565138 30.879991 
21.175395 14.604144 19.991509 27.930410 21.940073 35.205357 23.195740 8.450063 20.041463 29.354065 33.787168 37.234847 7.132600 27.206789 25.565138 30.879991 
8.127620 9.132010 9.516052 8.383453 8.697397 7.105782 6.613165 9.121799 9.818270 8.393531 8.489528 8.900114 10.228708 8.679625 8.775431 8.559190 
4.334731 4.870405 5.075228 4.471175 4.638612 3.789750 3.527021 5.212457 5.236411 4.476550 4.527748 4.746728 5.455311 4.629134 4.680230 4.564902 
0.396620 0.277758 0.229762 0.429046 0.406763 0.556398 0.134873 0.161219 0.392811 0.708787 0.611679 0.882435 0.137518 0.421378 0.373601 0.424667 
0.548085 0.419611 0.356666 0.633531 0.598880 0.696037 0.365551 0.236884 0.646243 1.120373 1.032101 1.394592 0.225930 0.640107 0.570968 0.640054 
0.308782 0.339710 0.356570 0.443599 0.397263 0.385255 0.379846 0.250805 0.170306 0.137640 0.176977 0.139209 0.500000 0.500000 0.500000 0.500000 
0.756515 0.750758 0.748798 0.820658 0.754799 0.770510 0.759692 0.764955 0.340613 0.275280 0.353954 0.278417 1.000000 1.000000 1.000000 1.000000 
-2.170269 -1.729364 -2.937772 -2.693513 -2.321006 -1.455568 -2.807602 -1.422370 -2.534992 -3.692913 -5.103845 -4.946281 -0.896473 -2.541799 -3.203773 -4.485793 
-0.263788 -0.255882 -0.500288 -0.076445 -0.473983 -2.149952 -0.301435 -0.210107 -0.059605 -0.178812 -0.405524 -0.148818 -0.044291 -0.219415 -0.198262 -0.293129 
1.088878 0.912050 1.601954 0.241442 1.615343 0.528491 1.258562 0.682886 0.193065 0.380450 1.112997 0.365057 0.162232 0.733381 0.683779 0.990148 
-0.817603 -0.561432 -0.835530 -2.375626 -0.231681 1.222875 -1.247604 -0.529378 -2.282322 -3.133650 -3.585325 -4.432406 -0.689950 -1.589003 -2.321732 -3.202516 
-2.190000 -1.750000 -2.980000 -2.700000 -2.360000 -4.170000 -2.830000 -1.440000 -2.540000 -3.710000 -5.140000 -4.960000 -0.900000 -2.560000 -3.220000 -4.510000 
0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 
0.561830 0.744561 1.706587 0.265390 1.481742 3.010561 0.622245 0.702726 0.200269 0.875874 1.640098 0.661935 0.122838 0.705845 0.608587 0.928602 
-2.100595 -1.150650 -1.134778 -0.152856 -1.675615 -2.420128 -2.488244 -0.538766 -0.148770 0.776222 0.221375 0.348147 -0.226010 -0.687140 -0.750710 -0.981870 
0.310490 0.783924 1.021095 0.469000 1.130000 1.450000 0.785902 0.935380 0.391750 0.790879 0.848843 -0.582714 0.431425 0.694608 0.558572 0.597133 
-2.186568 -1.748423 -2.978815 -2.699486 -2.352753 -4.145597 -2.824528 -1.439436 -2.539945 -3.712093 -5.141526 -4.961306 -0.899702 -2.559307 -3.219176 -4.509025 
